,product_id,product_title,rating,summary,review,name,location,date,upvotes,downvotes
639,ACCEGVTXGKZDXFRX,AMKETTE Xcite Neo Mouse & Wired USB Laptop Keyboard,5,Just wow!,Superb built quality. Seller made a super fast delivery thanks brother.I will refer others.,Techno Crush,Tirunelveli,"Apr, 2019",26,3
932,AICERF3ZUEZPUWFK,Hindware 36 L Room/Personal Air Cooler,4,Nice product,No replacement option.,Shikha Mandal,New Town,"Feb, 2019",3,0
461,ACCEHDYAKFAJ7EYQ,DELL KB 216 Wired USB Desktop Keyboard,5,Terrific,Great packing to protection of the product as well as product is nice and smooth.,Manoj Kumar,Tundla,"Mar, 2020",1,0
20,CKBFS9J6XWHSSQRJ,Chaayos Chai Time Snack Chocochip Cookies Cookies,5,Simply awesome,They're good,Sita Singhal,Hyderabad,"Dec, 2020",0,0
175,ACCFX6XRVG54GWXH,"Casewilla Back Cover for Apple iPhone 12, Plain, Cover",5,Highly recommended,Very nice for this price !!! Good ahead for this product,parvez anchary,Nagaon,3 months ago,5,2
251,ACCEQH83EUNCY3CV,SHINESTAR. Back Cover for Apple iPhone 6s,5,Awesome,Nice,Suraj Kashyav,Lafarge Cement Factory Arasmeta,24 days ago,0,0
74,ACCGFCHVGTWSHZYU,GadgetM Back Cover for Apple iPhone XR,5,Terrific purchase,Gud product,Sirisha Chowdary,Khammam District,4 months ago,0,0
573,AICEQVHUD9VZC4EG,Orient Electric 20 L Room/Personal Air Cooler,5,Must buy!,small size Air coller super high colling 80% A/C 😎😎,Arshath Khan,Madurai District,"Feb, 2020",49,14
132,CKBET6WU5APC49HS,BRITANNIA NutriChoice Digestive High Fibre Biscuits Digestive,5,Must buy!,Good product. I am very happy.thank u Flipkart,Swaleha Sadaf,Bhubaneswar,23 days ago,0,0
1381,AICESQCZZVR3CMBM,Symphony 55 L Room/Personal Air Cooler,5,Excellent,go for it it's amazing,Nandita Thakur,New Delhi,"May, 2019",8,5
349,ACCGFWY2ARNJDAJG,GadgetM Back Cover for Apple Iphone 12,5,Mind-blowing purchase,Nice product,Deepak Tyagi,Bathinda,2 months ago,0,0
526,AICEQGBHB75HSWGG,CROMPTON 75 L Desert Air Cooler,5,Mind-blowing purchase,just go for itone of the best model and best cooling efficiency compared to all other companies. but place it before the window and enjoy the air conditioning ...  loving itI bought it for 9878/ - which is an offer price..loved alot ...  Enjoying the chilling room...,kishore kumar,Tadpatri,"Jun, 2018",2,2
371,ACCFH7H8FG6GZMKB,"Flipkart SmartBuy Back Cover for Samsung Galaxy A20, Samsung Galaxy A30, Samsung Galaxy M10S",5,Brilliant,Awesome,M.Haris Kumar,Tiruchirappalli District,11 months ago,1,0
866,ACCES6YFGJFF7GFJ,QUANTUM QHM7307 MINI MULTIMEDIA KEYBOARD Wired USB Multi-device Keyboard,3,Fair,"Simple, quite handy and keys are also of decent quality.But stopped working after 10 months which was quite bad.",Mayuresh Chavan,Navi Mumbai,"Feb, 2021",4,1
822,ACCFAUEFZT5R72ZS,Prolite Majestic Basket Wired USB Multi-device Keyboard,5,Great product,It is good as per price.All the keys are well working. Delivery is also fast. Fully satisfied. Thanks Flipkart!!,Kajal Dogra,Kangra District,9 months ago,3,2
7,ACCFBPGHR8HWPHUF,HP 1000 Wired Optical Mouse,5,Excellent,"I got the mouse delivered within 12 hours . It is Compact , smooth and feels good in hand . The scrolling is also great. I shall update this review after a few months of using the product.",sachin rana,Bally,"Feb, 2021",8,0
1194,AICFNNBW9EB2S9ZA,Symphony 55 L Tower Air Cooler,1,Did not meet expectations,"this is worst product , it's not even for 1 person",Roohan Dhingra,New Delhi,"Jun, 2020",0,0
874,AICFYNG9D7JTYFZE,Symphony 70 L Desert Air Cooler,5,Best in the market!,Wonderful,VIVEK KUMAR,Garhwa District,12 days ago,0,0
354,ACCFUYXSJTY5BF3G,Carnage Flip Cover for Samsung Galaxy M01 Core,5,Highly recommended,Good productGood delivery personThank you so much Flipkart,somanath prabhu,Alappuzha,2 months ago,0,0
