,product_id,product_title,rating,summary,review,name,location,date,upvotes,downvotes
1073,AICFYNGFPPNRM8FG,Symphony 27 L Room/Personal Air Cooler,5,Simply awesome,Good product average cooling and flow is super cool,Imran Khan,Surat,7 days ago,0,0
10,ACCFBPGHR8HWPHUF,HP 1000 Wired Optical Mouse,5,Highly recommended,"good product and it was comfortable to laptop using,it's packing is good and the delivery of this product is nice ❤",Jamal Av,Moonniyur,"May, 2019",18,9
46,ACCGFWY43WADZC5E,GadgetM Back Cover for Apple Iphone 12,5,Must buy!,Good one,Neepa  Prakash,Ernakulam,2 months ago,0,0
1335,AICFNMDBXVAQMBVS,Symphony 80 L Desert Air Cooler,5,Super!,Cooling efficiency is good. but noise level is high. Symphony like brand need to work upon it.I grab it on 13K. caster wheel lock not available in this model.Quite OK,Ved Prakash  Verma,Gurgaon,10 months ago,0,0
722,AICFERMY7WWWAZYZ,Hindware Calisto 50 L Desert Air Cooler,4,Worth the money,"Its cool and compact. Works perfectly for a double sized hall of around 300sft. Only problem is the swing option. It doesnt swing to left as it does to right. Apart from this, it is worth purchasing. Got it for 6119 with discount offer in Mar'21.",Pocha Varun Kumar Reddy,Kurnool District,11 months ago,3,3
730,ACCDTR26KZZMSB57,HP x500 Wired Optical Mouse,5,Wonderful,Good,Moynul hassan mallick,Burdwan,5 months ago,0,0
610,ACCF5Q2FBDBUZPAU,"Logitech M221 / Silent Buttons, 1000 DPI Optical Tracking, Ambidextrous Wireless Optical Mouse",5,Brilliant,Amazing Product,Pratik Patel,Mahesana,2 months ago,0,0
107,CKBFS8YEP4YSAA9G,Chaayos Chai-Time Snacks Cookies,5,Awesome,These are just the ones we require in these times... healthy and very yummy.. just the perfect ones.. also superb for diabetic patients so that they can enjoy these amazing cookies..,Anshika,Meerut,3 months ago,0,0
944,ACCFBTYGYXRTU5GA,FU4 Portable Flexible Silicone Foldable Waterproof Wired USB Tablet Keyboard Wired USB Multi-device Keyboard (Black) Wired USB Multi-device Keyboard,2,Could be way better,bad product,Patel  Vatsal,Surat,"Dec, 2019",0,0
599,ACCERQGMQCQFXGHC,GoldKart Back Cover for Apple iPhone 6 GOLDCASE-701,3,Just okay,Superb,Ajaysinh Jadeja,Jamnagar District,7 months ago,0,0
197,ACCGFXRUUQEYMRKA,"CEDO Flip Cover for Samsung Galaxy F12, Samsung Galaxy M12, Samsung Galaxy A12",5,Must buy!,I am happy. Nice product,Navanath Ghodake,Pimpri Chinchwad,8 months ago,13,2
296,ACCFBZGVBKU3MNFY,HP 100 Wired USB Desktop Keyboard,5,Awesome,Good quality like this product,Lovely Pintu,Kishanganj,1 month ago,0,0
384,ACCFH7H8FG6GZMKB,"Flipkart SmartBuy Back Cover for Samsung Galaxy A20, Samsung Galaxy A30, Samsung Galaxy M10S",3,Does the job,Good product.  Very nice. Weight less product. Safety an d good material,Nandha kumar,Tiruppur,5 months ago,0,0
450,AICFQV87NFUG595H,CROMPTON 40 L Room/Personal Air Cooler,5,Best in the market!,good product.,Sumit,Mirzapur,9 months ago,0,0
678,AICEQUFHBKNF5U4T,Symphony 12 L Room/Personal Air Cooler,1,Not satisfied,This product is worst i don't know how people was given possitive comments for this productBecause in the product they had given 8 air threwing blades but last 4 blades in side was closed ok similarly and then down side up 1 rod air doesent come Accodingly will see working place was only one feet via air have coming at the same time if we suppose to sit on floor air doesn't come we slept on bed no effectWe sit in bed air will be çoming i completely up set with this product. So i will retur...,sayee venkatraman,Chennai,"Apr, 2018",41,19
1525,AICFCMRDPJ4DK4ZD,Flipkart SmartBuy 30 L Tower Air Cooler,5,Perfect product!,it's very good product . thank to flipcart . I think made by one good company.,ranadheer kumar,Hyderabad,"Mar, 2019",21,16
728,AICFERMY7WWWAZYZ,Hindware Calisto 50 L Desert Air Cooler,5,Perfect product!,buget friendly product....awsm cooling....not compair to ac but better than all types of fan,Sandip Kundu,Habra,"Jun, 2019",12,1
116,ACCFYV8ZGVEM4DVE,GadgetM Back Cover for Apple Iphone 11,4,Very Good,Good one,Rajat  Parakh,Churu,7 months ago,1,0
76,AICERF3ZMFAYK4ZC,Hindware 85 L Desert Air Cooler,4,Good quality product,I am writting the review after almost 1 year use of product.Its still working fine..easy to move and sufficient for my 10x10 ft. room or it has capabilty to cool more than this size.Just faced a little issue after received of this product and same is rectified by customer care with positive response !! This is in Budget...one can go for it !,Kuldeep Kumar,New Delhi,10 months ago,1,0
7,AICERF3ZMFAYK4ZC,Hindware 85 L Desert Air Cooler,3,Fair,really it's a desert cooler and cherry on the top I will recommend those who have larger room or more spaces they can use this cooler as there a low budget ac. the disadvantage of this thing is air flow is too much for smaller room I will recommend who has big office room we can use for small home it is too much because everything like curtain and etc can be flown by the air pressure of the floor of the cooler.,zahir shaikh,Pune,"Feb, 2019",129,88
351,AICFFVVJFQHHNCN8,CROMPTON 88 L Desert Air Cooler,5,Terrific purchase,Very good product.,Ranjit  Samal ,Rourkela,"Mar, 2021",9,3
479,AICEQGBHB75HSWGG,CROMPTON 75 L Desert Air Cooler,5,Terrific purchase,"A great cooler in great price. Compact and Great design , body is made of good plastic and the cooling effect this cooler is too good even on a slowest fan speed ut gives best result...Recommended to all.Also one thing I need to mentioned is the delivery man great guy helps me a lot to get this product :-)",Samuel Singh,Kanpur,"Apr, 2018",66,23
513,ACCFWZFYMGHKGYDB,"GadgetM Back Cover for Samsung Galaxy M11, Samsung Galaxy A11",5,Excellent,Nice,sonukumar Raut,Araria District,26 days ago,0,0
531,ACCG7FRJSUGRH6XC,Flipkart SmartBuy Back Cover for Samsung Galaxy M30,5,Great product,Perfect 👍😊,Flipkart Sanjana singh,Jamshedpur,5 months ago,1,1
204,ACCFDK469A9W96HJ,ZEBRONICS Zeb-K20 Wired USB Desktop Keyboard,5,Excellent,Guys Good keyboard With one year warrantyGo for it And build quality is also good Under 390rs only,SARDAR Manpreet Singh KHALSA,Dera Gopipur,"Jun, 2020",5,3
568,ACCF47WBREUAVYHH,SHINESTAR. Back Cover for Apple iPhone 6s,4,Really Nice,Looking superbbbb,Ruby  Syed,Nandigama,8 months ago,0,0
783,AICFERMY7WWWAZYZ,Hindware Calisto 50 L Desert Air Cooler,3,Decent product,plastic quality avrej.....delivery is very let,bhoi minesh,Anand,"Feb, 2021",1,0
156,AICFFGJZTHSDN3AZ,Symphony 27 L Room/Personal Air Cooler,4,Value-for-money,"Good performance. Met my expectations. Not much noisy. Cool air even for normal water.  1 bucket of water will do for two nights easily. Not yet tried with ice. However, Fingers crossed about durability! Hoping for the best! Thanks flipkart for a good deal price.",Ragavendher TR,Chennai,"Mar, 2021",170,63
287,ACCFBZGVBKU3MNFY,HP 100 Wired USB Desktop Keyboard,5,Super!,Easy to use,Mohammed Fasiuddin,Hyderabad,26 days ago,0,0
120,ACCGYWFK2JE2BJR8,"GoldKart Back Cover for Samsung Galaxy M12, Samsung Galaxy A12, Samsung Galaxy F12",4,Nice product,Good product,Dibya Barman ,Raiganj,9 months ago,0,0
829,AICFYNG9D7JTYFZE,Symphony 70 L Desert Air Cooler,5,Worth every penny,It's Really Storm Thanks To Flipkart....,Ranjit Gutal,Indapur,11 days ago,1,0
406,ACCGFXRTYWXRWA4T,"CEDO Flip Cover for Samsung Galaxy F12, Samsung Galaxy M12, Samsung Galaxy A12",5,Best in the market!,Quality product,SHENOY SHAJI,Ernakulam,2 months ago,0,0
778,AICFERMY7WWWAZYZ,Hindware Calisto 50 L Desert Air Cooler,5,Super!,Good quality,dnyaneshwar Kimmatkar,Nagpur,"Mar, 2021",1,0
648,AICEQUFHBKNF5U4T,Symphony 12 L Room/Personal Air Cooler,5,Highly recommended,"Nice, light weight and portable cooler. Company should give the full and detail user manual for using it properly and perfectly from day 1.rest it is best for low budget m happy and satisfied with fk for delivering it at earliest. It is working near by 10 hours with 12 liter or full tank water with 12t model....",Shyam Dawda,Mumbai,"May, 2017",18,35
24,AICERF3ZMFAYK4ZC,Hindware 85 L Desert Air Cooler,5,Terrific purchase,too good. i m reviewing after 2 months of use.. i planned for a ac.. then gave it a try.. now i am full satisfied with my cooler that i dropped the plan of buying ac. .. pros metal blade of fan . good speed with adjustable control (i always use in low mode) sound water tank. (enough for 36-48) hour.. sound is like a stand fan(not too loud). easily movable.. easy to fill the water tank .. good build quality.. easy to wash the tank.. it runs on inverter.. perfect for 3 people.. cons power c...,Manisha Bhakat,Jiaganj Azimganj,"Jun, 2019",12,2
86,AICGF8KFFAPSZJES,Orient Electric 85 L Desert Air Cooler,5,Perfect product!,Good cooler. It is new model of CD8501H which is one of the good selling product. Air throw is good and honeycomb thickness is also good,Rishyab Gupta,Gautam Buddh Nagar,11 months ago,143,60
480,ACCEHDYAKFAJ7EYQ,DELL KB 216 Wired USB Desktop Keyboard,4,Wonderful,I was looking for a budget keyboard with decent specifications. I was going to buy the logitech wireless mouse and keyboard combo when i found this one for cheap and decided to purchase this as i have previously used this keyboard and loved it. PROS 1. Nice and ergonomic design.2. Light weight and decent amount of key travel.3. Some extra buttons for added functionality.4. Build quality is good.CONS1. Flipkart packaging was worst. Just came inside a thin sheet of cardboard. On top ...,Raghav Bhat,Karkal,"Nov, 2017",0,1
276,ACCEQH83EUNCY3CV,SHINESTAR. Back Cover for Apple iPhone 6s,5,Terrific purchase,Super,Kabir Singh,Sitamarhi District,"Feb, 2021",0,0
106,CKBFS8YEP4YSAA9G,Chaayos Chai-Time Snacks Cookies,5,Brilliant,Very amazing cookies with yummy taste and perfect chai time snack.,Ashutosh B,Meerut,3 months ago,0,0
844,ACCFAUEFZT5R72ZS,Prolite Majestic Basket Wired USB Multi-device Keyboard,5,Highly recommended,Good,Kanika Bishwas,Aheri,"Mar, 2021",0,0
68,CKBFS9JGAC9CTX43,Chaayos Chai Time Snack Premium Coconut Cookies Cookies,5,Excellent,Hood,Rafid Faez,Murshidabad District,"Oct, 2020",0,0
189,ACCFDK469A9W96HJ,ZEBRONICS Zeb-K20 Wired USB Desktop Keyboard,5,Terrific,😶it's amazing product👍👌👌👌👌🤟,Anurag Kumar,Begusarai District,"Mar, 2021",3,0
184,ACCFX6XRVG54GWXH,"Casewilla Back Cover for Apple iPhone 12, Plain, Cover",5,Super!,Super clear case iPhone 12,Mubeen  Khan ,Alwar District,4 days ago,0,0
416,ACCFB5RHGC5NYGV9,SUNSHINE Back Cover for Apple iPhone 7,5,Terrific purchase,Good,Koushik Mondal,New Town,"Feb, 2021",0,0
660,ACCEGVTXGKZDXFRX,AMKETTE Xcite Neo Mouse & Wired USB Laptop Keyboard,5,Highly recommended,Super product good quality,K.raja Karthi,Chennai,18 days ago,0,0
102,AICGF8KFFAPSZJES,Orient Electric 85 L Desert Air Cooler,5,Perfect product!,Nice product,Harsh Raj,Gaya District,10 months ago,4,0
586,AICEQVHUD9VZC4EG,Orient Electric 20 L Room/Personal Air Cooler,5,Super!,Very nice products . I am very happy to buy this 😇😇😇 in goo price,Isha Bhadani,Gaya,"Jul, 2020",6,1
316,ACCG69QFS8M7WF8V,NKCASE Back Cover for Samsung Galaxy M32 5G,5,Classy product,Awesome! Perfect fitting.Must buy.,Sank,Kolhapur,5 months ago,12,1
389,ACCFBDCVVNXUWBXH,ZEBRONICS Zeb-Judwaa 750 Keyboard & Mouse Combo Wired USB Desktop Keyboard,4,Delightful,Good one,Prakash SH,Bijapur District,7 months ago,45,3
339,ACCE94WY6QPXKXFN,HP C2500 Wired Combo keyboard and Mouse,4,Product is good in such price.,"Both are quite good in such price, it is better to buy cause it comes with 3 years of warranty and service of HP is much better comparing to any other brand. Keyboard doesn't make much noise while hitting on keys, mouse is so much responsive and feels relaxing while holding it.Must buy in this price range.",Rohit Verma,Shahjahanpur,"Jul, 2017",0,2
316,ACCGFWY2ARNJDAJG,GadgetM Back Cover for Apple Iphone 12,5,Just wow!,The quality of of the cover is excellent ☺️👍,Lucky Ansh,Jaipur,9 days ago,0,0
75,ACCGYWFK2JE2BJR8,"GoldKart Back Cover for Samsung Galaxy M12, Samsung Galaxy A12, Samsung Galaxy F12",4,Worth the money,Good product,Arunkumar Chinnathambi,Bangalore Rural District,11 months ago,2,1
23,ACCFBPGHR8HWPHUF,HP 1000 Wired Optical Mouse,5,Highly recommended,"Hp mouse is nice, but the cord is very thin. and work perfect on Desktop,loptop and mobile. I am very Grateful to Flipkart sevice fast on Delivery. Thanks so much...",Cedric  Carvalho ,Mapusa,"Mar, 2019",0,0
16,ACCFBPGHR8HWPHUF,HP 1000 Wired Optical Mouse,5,Mind-blowing purchase,It's good and fits well in my hand but movement isn't smooth on wooden top,Sayan Pal,Bally,"Aug, 2019",1,0
1183,AICFNNBW9EB2S9ZA,Symphony 55 L Tower Air Cooler,1,Very poor,Worst product and worst costumer service by flipkart,Faryal  Zaheda,Hyderabad,10 months ago,1,0
1587,AICFCMRDPJ4DK4ZD,Flipkart SmartBuy 30 L Tower Air Cooler,3,Nice,The looks n size is good but the air is not cold..happy but somehow not satisfied cos the review was too good n i bought it.,Gaidin Panmei,New Delhi,"Jun, 2019",0,0
469,ACCF47WBYF6EK9GH,"SHINESTAR. Back Cover for Apple iPhone 6s Plus, Apple iPhone 6 Plus",5,Perfect product!,the cover is super👌👌👌,Abhisekh Sarkar,Hindusthan Cables Town,"Aug, 2018",0,1
931,AICERF3ZUEZPUWFK,Hindware 36 L Room/Personal Air Cooler,1,Not recommended at all,"Front flap area is very small. In pics, its showing that air will come out from whole front panel but that area is very less. More than half area is blocked.",Nishant Singh,Gurugram,"Jun, 2020",2,0
204,AICFFGJZTHSDN3AZ,Symphony 27 L Room/Personal Air Cooler,3,Does the job,Waste product dont purchase... The cooling effect is not as expected..,B UDAY  KUMAR ,Ballari,"Jun, 2019",3,0
733,AICFERMY7WWWAZYZ,Hindware Calisto 50 L Desert Air Cooler,5,Perfect product!,nice,premkumar naidu,Hyderabad,"May, 2019",5,0
350,AICFFVVJFQHHNCN8,CROMPTON 88 L Desert Air Cooler,5,Awesome,very super cooler ❄️🤘,AJAY  SAHANI,Siliguri,"Jul, 2019",20,10
544,AICEQGBHB75HSWGG,CROMPTON 75 L Desert Air Cooler,4,Pretty good,Speed and cooling are awesome. But noisy. Gives you AC feeling. Wish I could get it in low noise. It’s a huge one.,Avinash Pawar,Pune,"Mar, 2019",25,4
348,ACCE94WY6QPXKXFN,HP C2500 Wired Combo keyboard and Mouse,5,Best in the market!,Very good product,Partha  Das,North Twenty Four Parganas District,"Sep, 2016",93,12
1126,AICFNNBW9EB2S9ZA,Symphony 55 L Tower Air Cooler,4,Pretty good,"Good one.. As the base does not have strong support ( it stands by only wheels), handle it gently...",Mahesh Reddy,Bengaluru,"Mar, 2021",4,0
736,ACCDTR26KZZMSB57,HP x500 Wired Optical Mouse,5,Wonderful,Mast quality,Pappu Gaine,Nadia District,5 months ago,0,0
480,ACCFXUAB8YXRXTDF,"SHINESTAR. Back Cover for Apple iPhone 7 Plus, Apple iPhone 8 Plus",5,Simply awesome,Super quality thanks flipkart,Sanatan Prabhu,Jaipur,29 days ago,0,0
1251,AICEQUFHVJGGHPMV,Symphony 35 L Tower Air Cooler,1,Unsatisfactory,Cooling not well not purchase this one worst product in this company,Allu Chandra Babu,Hyderabad,"Apr, 2021",1,0
110,ACCFYV8ZGVEM4DVE,GadgetM Back Cover for Apple Iphone 11,5,Brilliant,Osm product 🤞🏻😍😍😍,Dev Sharma,Rewari District,"Feb, 2021",4,0
56,CKBFS9JGAC9CTX43,Chaayos Chai Time Snack Premium Coconut Cookies Cookies,5,Perfect product!,Very nice Coconut biscuit,rakesh Prasad ,Bhatpar Rani,1 month ago,0,0
52,AICERF3ZMFAYK4ZC,Hindware 85 L Desert Air Cooler,5,Must buy!,I am very happy with this product. and excellent delivery from delhivery courier service. packing was excellent and approx 30 min took to it out from packaging.. this product is ready to use..,Mohit Srivastava,New Delhi,"Jun, 2019",1,0
161,ACCFYV8ZGVEM4DVE,GadgetM Back Cover for Apple Iphone 11,5,Must buy!,Very nice. Value for money,Badri Acharya,Jagatsinghapur,2 months ago,0,0
1583,AICFCMRDPJ4DK4ZD,Flipkart SmartBuy 30 L Tower Air Cooler,4,Really Nice,"This was a Smart Buy .... I liked fan's speed. Although air blows only from 1 feet from top, rest part is for Show ( dummy ) Only. Easy to fill up water through a push and open Tray , easy because you don't need any pipe to fill up water, you can fill up water using Mug also.On the Top , it has ICE Chamber to take ice. Good enough for a 10x10 or 10x12 room. Blower works pretty well left-right only .Only one side ( Back Side ) air suction system. Left and Right Side are Closed with Pla...",D.D. Gupta,New Delhi,"Aug, 2019",0,0
707,AICEQUFHBKNF5U4T,Symphony 12 L Room/Personal Air Cooler,4,Really Nice,Very good air cooler good for normal size room but air cooling is not as expexted,Padma,New Delhi,"May, 2017",6,2
74,AICERF3ZMFAYK4ZC,Hindware 85 L Desert Air Cooler,5,Mind-blowing purchase,"After using 15 days i am writing review. Cooler size is big and better for bed room and can be good for hall too. Tank size is good 85 L, cooling is powerful and having 3 mode, honey pad inside improve cooling mechanism, Powerful air throw cover lot of distance, Swing Mode cover full bed room and finally looks is fabulous. I will give 5 stars for all these features. Must buy it - i purchased in 7899 rs only, worth of every peny. It gives challenge to symphony and other brands. I think this is...",Dheresh soni,Mohali,6 months ago,1,0
698,ACCDTR26KZZMSB57,HP x500 Wired Optical Mouse,5,Perfect product!,Little bit wide for which it is big for me otherwise it is handy and buttons are tactile,Sourav Marthi,Bhubaneshwar,"Sep, 2018",3,0
292,ACCFBZGVBKU3MNFY,HP 100 Wired USB Desktop Keyboard,5,Great product,nice,Banti Patel,Gopalganj District,1 month ago,0,0
1511,AICEQVHUGDDBYF6K,Orient Electric 50 L Window Air Cooler,2,Bad quality,Packing was very bad,PASHUPATI NATH,Maunath Bhanjan,"Nov, 2020",1,3
705,ACCDTR26KZZMSB57,HP x500 Wired Optical Mouse,5,Perfect product!,Very good product,Aloka  Kumari,Patna,"Mar, 2018",1,0
659,ACCG7RFFZFDBKQ56,Cover Alive Back Cover for Apple iPhone 13,5,Awesome,Very nice product fit for iphone 13 thanks to Flipkart,Sanjay Kumar,Mahendragarh District,1 month ago,3,0
771,AICFERMY7WWWAZYZ,Hindware Calisto 50 L Desert Air Cooler,5,Best in the market!,Cooling nice and quality also nice.Got it at rs 6210 by discount offer.,Mayank  Prakash,Rafiganj,11 months ago,2,0
450,ACCGFXRTYWXRWA4T,"CEDO Flip Cover for Samsung Galaxy F12, Samsung Galaxy M12, Samsung Galaxy A12",5,Excellent,Amazing flip cover,Sandhya  T P,Wayanad District,7 months ago,0,0
152,ACCEZ3YWU75CERHH,ZEBRONICS ZEB-KM-2100 Wired USB Desktop Keyboard,1,Don't waste your money,waste of money does not work properly had to return it.,Vishnu Sankar S,Virudhunagar,"Jun, 2018",1,0
1193,AICFNNBW9EB2S9ZA,Symphony 55 L Tower Air Cooler,1,Hated it!,Body material is not good quality.it do's not stand properly,hemant  Chandak ,Hyderabad,"Jun, 2020",0,0
119,CKBET6WU5APC49HS,BRITANNIA NutriChoice Digestive High Fibre Biscuits Digestive,4,Worth the money,Nic,Vikash vivek Purty,West Singhbhum,2 months ago,1,1
613,ACCERQGMQCQFXGHC,GoldKart Back Cover for Apple iPhone 6 GOLDCASE-701,4,Really Nice,Good,Ranjan kumar Mehta,Hariharganj,"Feb, 2021",0,0
273,ACCEQH83EUNCY3CV,SHINESTAR. Back Cover for Apple iPhone 6s,5,Simply awesome,Nice,Arman Alam,Dhanbad,"Feb, 2021",0,0
88,AICGF8KFFAPSZJES,Orient Electric 85 L Desert Air Cooler,5,Perfect product!,Great Product. Big size but it really flow great air. Purpose will meet even in humid place if you have good ventilation in your room at least from 2 side. If ventilation is not good then it will not work properly.,arindam ads,Siliguri,10 months ago,23,5
232,ACCFBZGVBKU3MNFY,HP 100 Wired USB Desktop Keyboard,5,Best in the market!,Nice compatible,Jagat jyoti Mishra,Ganjam District,"Jan, 2020",6,0
166,ACCFDK469A9W96HJ,ZEBRONICS Zeb-K20 Wired USB Desktop Keyboard,4,Nice purchase,Keys are smooth enough to use. I will recommend it for the developers and programmers. The back support of the body is not good enough and fragile that it can be broken within some time. It provides value for money experience to us. I got this in 350 INR (4.90 USD.) You can go for it,Dhruvkumar  Patel,Lunawada,10 months ago,15,2
180,AICFFGJZTHSDN3AZ,Symphony 27 L Room/Personal Air Cooler,2,Not good,I have not satisfied for Flipkart service  I have parchased this product on 29-01-2019 but the product sending different I will giving the complaint on 30-01-19 but till date no action taking for Flipkart &service deeler,chinthamanu chenchaiah,Hyderabad,"Feb, 2019",131,48
1343,AICFNMDBXVAQMBVS,Symphony 80 L Desert Air Cooler,1,Don't waste your money,Dont go for this model. Waste of money. No cooling table fan is better than this. More over produce too much noise.,Prawin Kumar M,Kaniyur Tiruppur District,11 months ago,0,1
242,AICGYH26HGMFGEBF,Hindware Snowcrest 45 L Room/Personal Air Cooler,4,Good quality product,"Cooling effect is good no doubt only when the surrounding wind flow is good too. But product material is not strong, need to be very careful while moving on floor and opening the windows to clean tank. Should be handel carefully. Price wise good for bachelor's nd couples staying in compact flat. While running not too much noisy but air flow is good till 7ft and covers good amount of area. But not sure if it can help to cool on peak summer like April May June, that will be challenging.",Vivek Soreng,New Town,"Mar, 2021",157,93
81,RUKG73S2EBTYCKAW,tasty trends Elaichi Toast 70 gms x 10 packs Elaichi flavored Elaichi Rusk,4,Delightful,Nice,Shahid Khan,Gopalganj District,1 month ago,1,0
513,AICEQGBHB75HSWGG,CROMPTON 75 L Desert Air Cooler,5,Highly recommended,"Better plastic quality than Symphony, better price, honey comb panels,sleek. Suggest every Symphony fan to give it a try as it is better in terms of product quality. Symphony quality has decreased a lot in few years.",Ravi Malik,Pune,"Mar, 2021",4,4
668,ACCEGVTXGKZDXFRX,AMKETTE Xcite Neo Mouse & Wired USB Laptop Keyboard,5,Wonderful,best this price range best product..... multimedia keys and keyboard sound is nice...... mouse is this range so nice.......,Abhishek Choudhary,Muzaffarnagar District,10 months ago,0,0
178,ACCFRWVBWVBHHCXG,"KWINE CASE Back Cover for Samsung Galaxy F41, Samsung Galaxy M31, Samsung Galaxy M21 2021",4,Very Good,Good quality,Suresh Juntupally,Mahbubnagar,2 months ago,0,0
71,CKBFS9JGAC9CTX43,Chaayos Chai Time Snack Premium Coconut Cookies Cookies,1,Very poor,Bad product,Pradip Samanta,Purba Medinipur District,"Sep, 2020",0,0
192,ACCFDK469A9W96HJ,ZEBRONICS Zeb-K20 Wired USB Desktop Keyboard,1,Utterly Disappointed,Broken item,Raj Roy,Raiganj,"Mar, 2021",6,1
1275,AICFNMDBXVAQMBVS,Symphony 80 L Desert Air Cooler,5,Just wow!,Very good product nice cooling Air thanks to flipkart 😍😍✌🏻,Hari Haran,Salem,11 months ago,25,7
444,ACCFBDCVVNXUWBXH,ZEBRONICS Zeb-Judwaa 750 Keyboard & Mouse Combo Wired USB Desktop Keyboard,2,Bad quality,Build quality ok No smoothness,Akshay Tomar,Meerut,18 days ago,0,0
21,ACCGFWY43WADZC5E,GadgetM Back Cover for Apple Iphone 12,5,Terrific,very nice cover,Vandana  David ,New Delhi,23 days ago,0,0
641,ACCEGVTXGKZDXFRX,AMKETTE Xcite Neo Mouse & Wired USB Laptop Keyboard,4,Worth the money,Value for money product,Adarsh  Ajay,Devanahalli,"Mar, 2019",14,2
1426,AICESQCZZVR3CMBM,Symphony 55 L Room/Personal Air Cooler,1,Absolute rubbish!,there is no honeycomb pad and touch facility.. worst product.. money waste ..,Arghya Das,Kalna,"May, 2019",0,0
130,ACCFYV8ZGVEM4DVE,GadgetM Back Cover for Apple Iphone 11,5,Terrific purchase,Nice Product 🙂,Dr.Rashid Muntiyaj,Thakurdwara,21 days ago,0,0
556,ACCFZDZGMEG5XGBY,WEBKREATURE Back Cover for Samsung Galaxy M01 Core,5,Mind-blowing purchase,Nice product thankyou flipkart🥰🥰🥰🥰,m.arthi m.arthi,Perambalur District,7 months ago,0,0
665,ACCG7RFFZFDBKQ56,Cover Alive Back Cover for Apple iPhone 13,5,Just wow!,Perfect fit,Vikas Raghuwanshi,Bhopal,11 days ago,0,0
47,RUKFS4HMZE75SVFT,Chaayos Chai-Time Snacks Premium flavored Sooji Rusk,1,Hated it!,Nice deal but product is very low quality,Adi U,Maharajganj,"Sep, 2020",0,0
326,AICFFVVJFQHHNCN8,CROMPTON 88 L Desert Air Cooler,5,Super!,"Can't go wrong with Crompton Brand, In Punjab this does an excellent job during this summer with temp between 35 - 42. The looks, quality, motor are great and I have been using it indoors. the air flow is good and have been using at lowest speed in my 12×16 bedroom and need summer blanket with it. At top speed it easily cools my 36×15 Lobby, which is great. As far as water goes it lasts 15+ hrs without worrying (88L capacity). Very easy to move even when water filled to full capacity. Never g...",Rupinder Kang,Mohali,"May, 2019",158,192
37,ACCFBPGHR8HWPHUF,HP 1000 Wired Optical Mouse,4,Very Good,nice product,Pranay  Sarkar,Kanchrapara,"Mar, 2019",4,0
525,AICEQGBHB75HSWGG,CROMPTON 75 L Desert Air Cooler,4,Worth the money,Good product. works best when kept near a window and when outside temperature is low it cools like a mini ac. Overall nice product. solves the purpose in places where temp raises to 35 to 38 degrees.,Arunava Ghosh,Hailakandi,"May, 2019",2,1
433,ACCFBDCVVNXUWBXH,ZEBRONICS Zeb-Judwaa 750 Keyboard & Mouse Combo Wired USB Desktop Keyboard,4,Good choice,Better for typing,Dattatray Gudde,Naldurg,12 days ago,0,0
281,ACCFBZGVBKU3MNFY,HP 100 Wired USB Desktop Keyboard,5,Perfect product!,Super nice,M.R. Group,Surat,21 days ago,0,0
458,ACCEHDYAKFAJ7EYQ,DELL KB 216 Wired USB Desktop Keyboard,5,Highly recommended,"I recommend you buy this keyboard (light weight, hard, regular use and minimam many that rezone I asks you buy this keyboard). This keyboard is good for Taiping and gaming. I used is everyday Taiping and entertainment games. But it's build quality is good and hard. I travel with this keyboard.",Bishal Mandal,Malda,"Oct, 2017",2,0
265,ACCEQH83EUNCY3CV,SHINESTAR. Back Cover for Apple iPhone 6s,3,Nice,Nice,Anil Hessa,Chennai,7 months ago,0,0
883,ACCES6YFGJFF7GFJ,QUANTUM QHM7307 MINI MULTIMEDIA KEYBOARD Wired USB Multi-device Keyboard,1,Absolute rubbish!,definitely well but more than costly,Milton Mondal,Kolkata,"Oct, 2018",0,0
807,AICFYNG9D7JTYFZE,Symphony 70 L Desert Air Cooler,4,Good choice,Good cooler,Arvind  Yadav ,Firozabad,10 months ago,5,1
574,ACCF5Q2FBDBUZPAU,"Logitech M221 / Silent Buttons, 1000 DPI Optical Tracking, Ambidextrous Wireless Optical Mouse",3,Fair,Not so smooth as mentioned.  Sometimes I need to click mouse button multiple times,Yugandhar Seshu,Hyderabad,24 days ago,0,0
671,AICEQUFHBKNF5U4T,Symphony 12 L Room/Personal Air Cooler,5,Terrific,good product,Uppala Ranaganath,Banaganapalle,"Mar, 2019",17,2
99,ACCGFCHVGTWSHZYU,GadgetM Back Cover for Apple iPhone XR,5,Fabulous!,Very good,AKASH SHARMA,Reasi,9 months ago,0,0
1323,AICFNMDBXVAQMBVS,Symphony 80 L Desert Air Cooler,5,Best in the market!,Nice,Dushmanta Sahu,Haludpukhur,9 months ago,0,0
490,AICEQGBHB75HSWGG,CROMPTON 75 L Desert Air Cooler,5,Wonderful,Wow great job Flipcart. Fast delivery. Product arrived 2 days before expected date. Product is good and value for the money. Thanks. 😊,Khurram Abbas,Aligarh,"Apr, 2018",15,1
796,ACCFAHEZ9HEFPHMG,Glink GLM69 Wired Optical Mouse,5,Simply awesome,NICE,TANISHQ SHETTY,Nashik,3 months ago,0,0
670,ACCG7RFFZFDBKQ56,Cover Alive Back Cover for Apple iPhone 13,4,Good choice,Good quality … but to much expensive,Aakash Nitin,Muzaffarpur,2 months ago,0,2
